	Brachythecium_salebrosum_AY184761	Climacium_americanum_CanadaNovaScotia_SB4491	Climacium_americanum_USAFlorida_SB4492	Climacium_americanum_USAGeorgia_SB4482	Climacium_americanum_USAGeorgia_SB4483	Climacium_americanum_USAGeorgia_SB4484	Climacium_americanum_USAIllinois_SB4485	Climacium_americanum_USAIndiana_SB4486	Climacium_americanum_USANewHampshire_SB4384	Climacium_americanum_USANewYork_SB4487	Climacium_americanum_USANorthCarolina_SB4382	Climacium_americanum_USATennessee_SB4490	Climacium_americanum_USATexas_SB4488	Climacium_americanum_USAVermont_SB4489	Climacium_dendroides_485	Climacium_dendroides_489	Climacium_dendroides_515	Climacium_dendroides_547	Climacium_dendroides_CanadaBritishColumbia_SB4376	Climacium_dendroides_CanadaManitoba_SB4494	Climacium_dendroides_CanadaQuebec_SB4493	Climacium_dendroides_CanadaYukonTerritory_SB4505	Climacium_dendroides_China_SB4385	Climacium_dendroides_CzechRepublic_SB4512	Climacium_dendroides_CzechRepublic_SB4513	Climacium_dendroides_Finland_SB4495	Climacium_dendroides_Iceland_SB4497	Climacium_dendroides_Ireland_SB4511	Climacium_dendroides_Mexico_SB4375	Climacium_dendroides_NewZealand_SB4500	Climacium_dendroides_NewZealand_SB4501	Climacium_dendroides_Russia_SB4378	Climacium_dendroides_Russia_SB4514	Climacium_dendroides_Russia_SB4515	Climacium_dendroides_Sweden_SB4496	Climacium_dendroides_USAColorado_SB4498	Climacium_dendroides_USAIdaho_SB4504	Climacium_dendroides_USAMontana_SB4503	Climacium_dendroides_USAWashington_SB4502	Climacium_japonicum_351	Climacium_japonicum_516	Climacium_japonicum_China_SB4380	Climacium_japonicum_Japan_SB4379	Climacium_kindbergii_USAAlabama_SB4506	Climacium_kindbergii_USAMississippi_SB4507	Climacium_kindbergii_USANorthCarolina_SB4377	Climacium_kindbergii_USANorthCarolina_SB4381	Climacium_kindbergii_USAOhio_SB4508	Climacium_kindbergii_USASouthCarolina_SB4509	Climacium_kindbergii_USAVirginia_SB4510	Pleuroziopsis_sp._MDP494
Climacium_americanum_USANorthCarolina_SB4382	0.03304189434332123	0.00566708717583862	0.3648256279813735	0.006151454043075888	0.005032972751808282	0.00597338124648626	0.6911178449765439	0.47299495664469865	0.005283572397255851	0.005051131539774072	0.0	0.005951023054523532	0.005040220576997008	0.005252122303739572	0.005244776618227978	0.005535718822972144	0.005556867282031972	0.0055530100968834905	0.005224681525813695	0.004269461244964843	0.005859404802595218	0.004851245892317273	1.8466091076167432	0.004271487578292219	0.004109599323469197	0.004337361486068558	0.0042268516246034985	0.0048991192513412095	0.004865069764053752	0.004832490945699173	0.005353341786219304	0.005266259203014035	0.004902550432007581	0.0048991192513412095	0.004706820704118241	0.004944102660015286	1.3664483780481704	1.2925467948139981	0.029397517063372115	0.009477135578602688	0.00877100395059049	0.008071197323367883	0.007253171649570853	1.239235049590181	0.004546528262054662	0.006217652190355265	0.004914597506072711	0.006545063353677896	0.00531351850549475	0.005334304136855263	0.020378346971209434
Climacium_americanum_USATennessee_SB4490	0.037472449332931104	0.0017321023864968962	0.3515182650050051	0.0004628915437788215	0.0017732600765656694	0.00044977512592354624	0.6911481889032834	0.4869542736429906	0.00980635030474504	0.0010706639933890844	0.005951023054523532	0.0	0.001763254603154647	0.010380788558903516	0.01049702229549384	0.010729301576327168	0.010770306683256892	0.010755359520872736	0.010366440087134937	0.009699904257667332	0.021754986010569317	0.010405337954745098	1.8305050461083814	0.009722358367883238	0.009354241526603031	0.009868563433133316	0.012685291831546357	0.010011656144015895	0.009830450860133823	0.010366114446483068	0.010489681481054879	0.010489681481054879	0.01012703082744529	0.010011656144015895	0.010007997794809358	0.010098817699800686	1.3692572651296615	1.2884910630639392	0.03481408158183752	0.014398194731294733	0.013684590170853455	0.01331188612821169	0.011666901928978127	1.2407649304090165	0.001372998095117943	0.0026396859629233835	0.0010362695949114862	0.000589854532960032	0.001388246578688532	0.0020913223728371965	0.025106946897292086
Climacium_americanum_USATexas_SB4488	0.03834700989195318	0.0014038375647605526	0.35293595579635295	0.00046678078369959337	0.000716161429446101	0.0004601227138182107	0.6898670384594058	0.48704458566347664	0.00967755362693088	0.0007164179649225186	0.005040220576997008	0.001763254603154647	0.0	0.009198228500371188	0.00956781225057825	0.009561035995979739	0.0099315709940777	0.009917499881017072	0.009646435231805773	0.009868563433133316	0.019829310999467803	0.010420123406637564	1.805337930128784	0.00978122852665159	0.009655305761982712	0.009882495925563792	0.011706516489171186	0.009198228500371188	0.009047154336956322	0.010410261774304175	0.009459257089497599	0.010255538841989929	0.009303554413351962	0.009198228500371188	0.009476927672761263	0.009244013681013793	1.3718079241764372	1.289000688917039	0.03391025979062803	0.013496279896680966	0.012779861931758342	0.012569123473752518	0.011603402975437407	1.253510196774485	0.0003513292018806049	0.0013386884410901034	0.0007070469531427215	-0.0	0.0003514526774715936	0.0010589482874646665	0.024930040847192247
Climacium_americanum_USAVermont_SB4489	0.036023873315253696	0.010102335740800158	0.3515182650050051	0.00938245230500445	0.009674086116349229	0.00911311333688452	0.7029800616063318	0.4968008207982271	0.0006986493285836225	0.009681023624178066	0.005252122303739572	0.010380788558903516	0.009198228500371188	0.0	0.0006923610000116501	0.0006850097519238476	0.001030927997374949	0.0017184106497969579	0.0006916427003132225	-0.0	-0.0	0.0004698512291488545	1.834070879110659	-0.0	-0.0	-0.0	-0.0	0.000341724575908481	0.000349854233749135	0.000468091761176802	0.0007148815029514561	0.0005846813782760603	0.0003455027125480153	0.000341724575908481	-0.0	0.00034478796147972406	1.3828873644305308	1.3009507915410796	0.024733424104681663	0.011522573007577648	0.010815398490553789	0.00980635030474504	0.007822756709154334	1.2487221783349578	0.008960474186614248	0.010762516522354751	0.009463847969408596	0.009499434335966148	0.009772125217750347	0.009809786003636174	0.02101713707497861
Climacium_dendroides_485	0.03628614624478711	0.010205436056957035	0.35010731906764414	0.009749440907729782	0.009608672350650209	0.009468114921297302	0.706242418434932	0.4970254435885335	0.0006930807932294608	0.009584794984799161	0.005244776618227978	0.01049702229549384	0.00956781225057825	0.0006923610000116501	0.0	-0.0	0.0003409090967787206	0.001704352511663407	0.0006880734427569218	0.0004656938988493155	0.0019442655087975416	-0.0	1.8330761125077806	0.00046267737432792493	0.00044957291920117055	0.00046721695951077347	0.0010544817202783174	0.0003455027125480153	0.00034875610951619053	-0.0	-0.0	0.0011746282745587096	0.00034997667457272445	0.00034562212593214456	0.0005884660953133635	0.0003474232835721793	1.3833206473247828	1.3108663246474759	0.02449197223053943	0.011340422245368917	0.010644564622875571	0.01013410875794142	0.008484253371545682	1.257455906655466	0.009069877975433384	0.01126485580671407	0.009463847969408596	0.010157494431336938	0.009854670170439162	0.009899966961498833	0.020929157148964164
Climacium_dendroides_489	0.03573740621178906	0.010095302108232873	0.3498933575185942	0.009740396645108392	0.009928049473773654	0.009463847969408596	0.7060036747939373	0.49780454049309764	0.0010362695949114862	0.009564422923043426	0.005535718822972144	0.010729301576327168	0.009561035995979739	0.0006850097519238476	-0.0	0.0	0.000338256855434936	0.0016910942903168198	0.0010207555165312292	0.0009269273541987124	0.0019442655087975416	-0.0	1.842690963277448	0.00046054652966964055	0.00044339345069123904	0.00046699876975836614	0.0010500526741508975	0.0003418413915149797	0.0006899724497661181	-0.0	-0.0	0.0017513142808851182	0.00034622043315348894	0.0003419582870137191	0.0005853658833737056	0.00034478796147972406	1.3765520692199713	1.304291554303115	0.02474229391818692	0.011336526383411873	0.010637259403873894	0.010370023485108761	0.008379975448593893	1.2437593810704866	0.008972843708477375	0.011661170780635402	0.009707751388721608	0.010121209363026754	0.009748309456477587	0.009792631541674096	0.021055225357580157
Climacium_dendroides_515	0.03566386152437522	0.010486014922755381	0.349342403142085	0.010212133637404456	0.009974024932829008	0.009913031066638248	0.7077478819080403	0.49903003096183896	0.0010402220807616156	0.009928049473773654	0.005556867282031972	0.010770306683256892	0.0099315709940777	0.001030927997374949	0.0003409090967787206	0.000338256855434936	0.0	0.0020297711983071854	0.0010238909440049774	0.0009312433293274627	0.0019442655087975416	0.0004696305726398616	1.837836577398234	0.0009252121450893593	0.0008906042311184758	0.0009342885045012165	0.0021015775572298346	0.0006857143334810897	0.0006928406959228287	0.000468091761176802	0.0003551977333736218	0.00176263300871522	0.0006945248788943802	0.0006859495162051308	0.0011753185559035674	0.0006894967159943346	1.3836276640568297	1.3134510809049886	0.02519733080304071	0.011694802420794438	0.010982921352612581	0.010409604995802681	0.008936989007909651	1.2599896928491865	0.009352389978485136	0.011724273020256106	0.009748309456477587	0.01075929987987544	0.01013765143469518	0.010183932662364666	0.021128157725022252
Climacium_dendroides_547	0.034236888908433113	0.010467720513013905	0.3514243608570809	0.009273688478212406	0.009959833348809618	0.009006412642548074	0.7078980440836908	0.49780454049309764	0.0017339043672340978	0.009917499881017072	0.0055530100968834905	0.010755359520872736	0.009917499881017072	0.0017184106497969579	0.001704352511663407	0.0016910942903168198	0.0020297711983071854	0.0	0.0017060971870304685	0.0009312433293274627	0.0019442655087975416	0.0014091126737849646	1.8327509263285515	0.0009247843341863167	0.0008894160544270988	0.000933852260728781	0.0020993715597108498	0.0013711155555469424	0.0013853617423180442	0.0014044947924689163	0.0017757792124466645	0.001760564188728756	0.0013887285532419346	0.001371585706302394	0.001173938803562225	0.001378676858813257	1.3839251120324352	1.3113469976060474	0.02591117716491402	0.011682746816565339	0.010975387354563442	0.010402385898112876	0.007805311108534224	1.258443244934442	0.009339449636934092	0.011713708596265247	0.009741526260150664	0.009544769902404701	0.010123495568520092	0.01016964733922427	0.020411776419276547
Climacium_dendroides_CanadaBritishColumbia_SB4376	0.03566386152437522	0.010191090384709972	0.3514243608570809	0.009794915335956866	0.00956781225057825	0.009515306607404416	0.6999513555423914	0.49780454049309764	0.000691164661286733	0.00962580057865585	0.005224681525813695	0.010366440087134937	0.009646435231805773	0.0006916427003132225	0.0006880734427569218	0.0010207555165312292	0.0010238909440049774	0.0017060971870304685	0.0	0.0004641807358443129	0.0019442655087975416	0.0009399969897254123	1.8365834442746198	0.00046310591159600696	0.00044536818410882554	0.00046941012328764265	0.0010511564439663335	0.00034502588302567065	0.0003439578138707903	0.0009369145503239459	0.0007153929241590147	0.0011549569173650571	0.00034924331248073926	0.0003451449669747683	0.0005891594961253939	0.00034778577020148064	1.3763663847828673	1.3007538118945106	0.024248191589599264	0.011442663010374022	0.010736733809940396	0.010053305137796495	0.008431792011700428	1.2469646358273354	0.009060395934742501	0.011239532988042956	0.009349151532421085	0.01018793132610939	0.009837358506911188	0.009847738198501032	0.020676705783739913
Climacium_dendroides_CanadaManitoba_SB4494	0.03479323128858779	0.009343004659691068	0.3481144306753432	0.009343004659691068	0.009408936320248754	0.009386855948872985	0.5564530085470328	0.4962461729897841	0.0004656938988493155	0.009943327459238024	0.004269461244964843	0.009699904257667332	0.009868563433133316	-0.0	0.0004656938988493155	0.0009269273541987124	0.0009312433293274627	0.0009312433293274627	0.0004641807358443129	0.0	-0.0	0.0004702931648064412	1.7025222132821434	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0004702931648064412	0.00047318613556994894	0.0006085193031594356	-0.0	-0.0	-0.0	-0.0	1.384370017873748	1.2915425929066873	0.032222264370178624	0.008427054950194381	0.007956392870110556	0.008360513885180535	0.008227310709681666	1.2452632269384378	0.009369266129390624	0.00959629245344004	0.009312551742145138	0.00953339549077851	0.009813224110830469	0.009400091717921477	0.007889924248035415
